DATE,PRICES
01/01/87,63.965
01/02/87,64.424
01/03/87,64.735
01/04/87,65.132
01/05/87,65.565
01/06/87,66.073
01/07/87,66.508
01/08/87,66.939
01/09/87,67.331
01/10/87,67.739
01/11/87,68.107
01/12/87,68.506
01/01/88,68.859
01/02/88,69.263
01/03/88,69.639
01/04/88,69.977
01/05/88,70.426
01/06/88,70.888
01/07/88,71.354
01/08/88,71.799
01/09/88,72.24
01/10/88,72.636
01/11/88,73.072
01/12/88,73.465
01/01/89,73.947
01/02/89,74.383
01/03/89,74.778
01/04/89,75.085
01/05/89,75.306
01/06/89,75.48
01/07/89,75.658
01/08/89,75.836
01/09/89,76.058
01/10/89,76.283
01/11/89,76.521
01/12/89,76.705
01/01/90,76.897
01/02/90,77.053
01/03/90,77.201
01/04/90,77.278
01/05/90,77.297
01/06/90,77.258
01/07/90,77.138
01/08/90,77.009
01/09/90,76.85
01/10/90,76.701
01/11/90,76.37
01/12/90,76.184
01/01/91,75.916
01/02/91,75.736
01/03/91,75.569
01/04/91,75.567
01/05/91,75.766
01/06/91,75.993
01/07/91,76.083
01/08/91,76.11
01/09/91,76.194
01/10/91,76.076
01/11/91,76.014
01/12/91,76.057
01/01/92,76.086
01/02/92,76.155
01/03/92,76.276
01/04/92,76.345
01/05/92,76.398
01/06/92,76.332
01/07/92,76.264
01/08/92,76.23
01/09/92,76.238
01/10/92,76.376
01/11/92,76.558
01/12/92,76.674
01/01/93,76.784
01/02/93,76.837
01/03/93,76.868
01/04/93,76.936
01/05/93,77.037
01/06/93,77.242
01/07/93,77.429
01/08/93,77.612
01/09/93,77.794
01/10/93,77.941
01/11/93,78.149
01/12/93,78.326
01/01/94,78.591
01/02/94,78.727
01/03/94,78.856
01/04/94,78.987
01/05/94,79.221
01/06/94,79.423
01/07/94,79.595
01/08/94,79.782
01/09/94,79.92
01/10/94,80.064
01/11/94,80.149
01/12/94,80.296
01/01/95,80.427
01/02/95,80.528
01/03/95,80.598
01/04/95,80.662
01/05/95,80.704
01/06/95,80.784
01/07/95,80.937
01/08/95,81.11
01/09/95,81.306
01/10/95,81.482
01/11/95,81.619
01/12/95,81.737
01/01/96,81.835
01/02/96,81.954
01/03/96,82.194
01/04/96,82.421
01/05/96,82.61
01/06/96,82.752
01/07/96,82.929
01/08/96,83.087
01/09/96,83.257
01/10/96,83.377
01/11/96,83.553
01/12/96,83.721
01/01/97,83.956
01/02/97,84.181
01/03/97,84.451
01/04/97,84.623
01/05/97,84.862
01/06/97,85.08
01/07/97,85.332
01/08/97,85.573
01/09/97,85.851
01/10/97,86.147
01/11/97,86.633
01/12/97,87.093
01/01/98,87.615
01/02/98,88.003
01/03/98,88.442
01/04/98,88.879
01/05/98,89.364
01/06/98,89.844
01/07/98,90.31
01/08/98,90.786
01/09/98,91.259
01/10/98,91.718
01/11/98,92.2
01/12/98,92.712
01/01/99,93.208
01/02/99,93.672
01/03/99,94.218
01/04/99,94.785
01/05/99,95.345
01/06/99,95.976
01/07/99,96.592
01/08/99,97.22
01/09/99,97.863
01/10/99,98.524
01/11/99,99.155
01/12/99,99.845
01/01/00,100.551
01/02/00,101.339
01/03/00,102.127
01/04/00,102.922
01/05/00,103.677
01/06/00,104.424
01/07/00,105.054
01/08/00,105.767
01/09/00,106.538
01/10/00,107.382
01/11/00,108.302
01/12/00,109.14
01/01/01,109.846
01/02/01,110.5
01/03/01,111.108
01/04/01,111.651
01/05/01,112.163
01/06/01,112.796
01/07/01,113.491
01/08/01,114.166
01/09/01,114.811
01/10/01,115.308
01/11/01,115.855
01/12/01,116.453
01/01/02,117.143
01/02/02,117.844
01/03/02,118.687
01/04/02,119.611
01/05/02,120.724
01/06/02,121.813
01/07/02,122.888
01/08/02,123.831
01/09/02,124.78
01/10/02,125.734
01/11/02,126.669
01/12/02,127.623
01/01/03,128.461
01/02/03,129.355
01/03/03,130.148
01/04/03,130.884
01/05/03,131.735
01/06/03,132.649
01/07/03,133.776
01/08/03,134.968
01/09/03,136.294
01/10/03,137.532
01/11/03,138.794
01/12/03,140.18
01/01/04,141.646
01/02/04,143.192
01/03/04,145.059
01/04/04,146.592
01/05/04,148.185
01/06/04,149.85
01/07/04,151.338
01/08/04,152.633
01/09/04,154.179
01/10/04,155.751
01/11/04,157.527
01/12/04,159.33
01/01/05,161.288
01/02/05,163.344
01/03/05,165.812
01/04/05,167.501
01/05/05,169.351
01/06/05,171.19
01/07/05,172.86
01/08/05,174.44
01/09/05,176.437
01/10/05,178.027
01/11/05,179.681
01/12/05,180.91
01/01/06,182.32
01/02/06,183.287
01/03/06,184.364
01/04/06,184.329
01/05/06,184.156
01/06/06,183.507
01/07/06,183.067
01/08/06,182.593
01/09/06,182.799
01/10/06,183.2
01/11/06,183.611
01/12/06,184.141
01/01/07,184.518
01/02/07,184.599
01/03/07,184.15
01/04/07,183.011
01/05/07,181.601
01/06/07,180.254
01/07/07,179.111
01/08/07,178.117
01/09/07,177.558
01/10/07,176.624
01/11/07,175.147
01/12/07,174.341
01/01/08,173.133
01/02/08,171.542
01/03/08,170.054
01/04/08,168.337
01/05/08,166.658
01/06/08,165.017
01/07/08,163.567
01/08/08,161.989
01/09/08,160.309
01/10/08,158.329
01/11/08,156.142
01/12/08,153.618
01/01/09,151.504
01/02/09,150.012
01/03/09,148.659
01/04/09,147.949
01/05/09,147.696
01/06/09,148.09
01/07/09,148.409
01/08/09,148.276
01/09/09,148.023
01/10/09,147.848
01/11/09,148.133
01/12/09,147.929
01/01/10,147.395
01/02/10,145.632
01/03/10,145.86
01/04/10,146.401
01/05/10,146.391
01/06/10,145.717
01/07/10,144.988
01/08/10,143.913
01/09/10,143.015
01/10/10,142.525
01/11/10,142.169
01/12/10,142.061
01/01/11,141.526
01/02/11,140.356
01/03/11,139.987
01/04/11,140.011
01/05/11,139.904
01/06/11,139.86
01/07/11,139.727
01/08/11,139.306
01/09/11,138.667
01/10/11,137.954
01/11/11,137.154
01/12/11,136.676
01/01/12,136.606
01/02/12,136.529
01/03/12,137.903
01/04/12,139.155
01/05/12,140.157
01/06/12,141.03
01/07/12,141.668
01/08/12,142.277
01/09/12,142.907
01/10/12,143.6
01/11/12,144.585
01/12/12,145.501
01/01/13,146.834
01/02/13,147.783
01/03/13,149.964
01/04/13,151.521
01/05/13,152.854
01/06/13,154.197
01/07/13,155.606
01/08/13,156.973
01/09/13,158.234
01/10/13,159.246
01/11/13,160.075
01/12/13,160.997
01/01/14,161.946
01/02/14,162.53
01/03/14,163.092
01/04/14,163.399
01/05/14,163.665
01/06/14,164.049
01/07/14,164.571
01/08/14,165.218
01/09/14,165.909
01/10/14,166.646
01/11/14,167.338
01/12/14,168.056
01/01/15,168.661
01/02/15,169.138
01/03/15,169.812
01/04/15,170.312
01/05/15,170.893
01/06/15,171.453
01/07/15,172.126
01/08/15,172.946
01/09/15,173.839
01/10/15,174.801
01/11/15,175.746
01/12/15,176.551
01/01/16,177.299
01/02/16,177.668
01/03/16,178.194
01/04/16,178.8
01/05/16,179.459
01/06/16,180.08
01/07/16,180.836
01/08/16,181.869
01/09/16,182.836
01/10/16,183.748
01/11/16,184.735
01/12/16,185.685
01/01/17,186.791
01/02/17,187.315
01/03/17,188.036
01/04/17,188.818
01/05/17,189.71
01/06/17,190.551
01/07/17,191.48
01/08/17,192.729
01/09/17,193.785
01/10/17,194.768
01/11/17,195.852
01/12/17,197.032
01/01/18,198.198
01/02/18,199.191
01/03/18,200.048
01/04/18,200.879
01/05/18,201.656
01/06/18,202.379
01/07/18,202.991
01/08/18,203.798
01/09/18,204.365
01/10/18,204.997
01/11/18,205.436
01/12/18,205.847
01/01/19,206.263
01/02/19,206.729
01/03/19,207.223
01/04/19,207.936
01/05/19,208.602
01/06/19,208.981
01/07/19,209.474
01/08/19,210.255
01/09/19,210.909
01/10/19,211.566
01/11/19,212.404
01/12/19,213.404
01/01/20,214.486
01/02/20,215.579
01/03/20,216.637
01/04/20,217.446
01/05/20,217.72
01/06/20,218.165
01/07/20,219.677
01/08/20,222.562
01/09/20,225.784
01/10/20,229.356
01/11/20,232.613
01/12/20,235.658
01/01/21,238.772
01/02/21,241.888
01/03/21,245.847
01/04/21,250.051
01/05/21,254.593
01/06/21,259.276
01/07/21,263.318
01/08/21,267.067
01/09/21,270.258
01/10/21,273.106
01/11/21,276.367
01/12/21,280.152
01/01/22,284.767
01/02/22,290.433
01/03/22,296.572
01/04/22,301.02