DATE,FEDFUNDS,MORTGAGE RATES
01/12/86,6.91,9.31
01/01/87,6.43,9.2
01/02/87,6.1,9.08
01/03/87,6.13,9.04
01/04/87,6.37,9.83
01/05/87,6.85,10.6
01/06/87,6.73,10.54
01/07/87,6.58,10.28
01/08/87,6.73,10.33
01/09/87,7.22,10.89
01/10/87,7.29,11.26
01/11/87,6.69,10.65
01/12/87,6.77,10.64
01/01/88,6.83,10.38
01/02/88,6.58,9.89
01/03/88,6.58,9.93
01/04/88,6.87,10.2
01/05/88,7.09,10.46
01/06/88,7.51,10.46
01/07/88,7.75,10.43
01/08/88,8.01,10.6
01/09/88,8.19,10.48
01/10/88,8.3,10.3
01/11/88,8.35,10.27
01/12/88,8.76,10.61
01/01/89,9.12,10.73
01/02/89,9.36,10.65
01/03/89,9.85,11.03
01/04/89,9.84,11.05
01/05/89,9.81,10.77
01/06/89,9.53,10.2
01/07/89,9.24,9.88
01/08/89,8.99,9.99
01/09/89,9.02,10.13
01/10/89,8.84,9.95
01/11/89,8.55,9.77
01/12/89,8.45,9.74
01/01/90,8.23,9.9
01/02/90,8.24,10.2
01/03/90,8.28,10.27
01/04/90,8.26,10.37
01/05/90,8.18,10.48
01/06/90,8.29,10.16
01/07/90,8.15,10.04
01/08/90,8.13,10.1
01/09/90,8.2,10.18
01/10/90,8.11,10.18
01/11/90,7.81,10.01
01/12/90,7.31,9.67
01/01/91,6.91,9.64
01/02/91,6.25,9.37
01/03/91,6.12,9.5
01/04/91,5.91,9.49
01/05/91,5.78,9.47
01/06/91,5.9,9.62
01/07/91,5.82,9.58
01/08/91,5.66,9.24
01/09/91,5.45,9.01
01/10/91,5.21,8.86
01/11/91,4.81,8.71
01/12/91,4.43,8.5
01/01/92,4.03,8.43
01/02/92,4.06,8.76
01/03/92,3.98,8.94
01/04/92,3.73,8.85
01/05/92,3.82,8.67
01/06/92,3.76,8.51
01/07/92,3.25,8.13
01/08/92,3.3,7.98
01/09/92,3.22,7.92
01/10/92,3.1,8.09
01/11/92,3.09,8.31
01/12/92,2.92,8.21
01/01/93,3.02,7.99
01/02/93,3.03,7.68
01/03/93,3.07,7.5
01/04/93,2.96,7.47
01/05/93,3,7.47
01/06/93,3.04,7.42
01/07/93,3.06,7.21
01/08/93,3.03,7.11
01/09/93,3.09,6.92
01/10/93,2.99,6.83
01/11/93,3.02,7.16
01/12/93,2.96,7.17
01/01/94,3.05,7.06
01/02/94,3.25,7.15
01/03/94,3.34,7.68
01/04/94,3.56,8.32
01/05/94,4.01,8.6
01/06/94,4.25,8.4
01/07/94,4.26,8.61
01/08/94,4.47,8.51
01/09/94,4.73,8.64
01/10/94,4.76,8.93
01/11/94,5.29,9.17
01/12/94,5.45,9.2
01/01/95,5.53,9.15
01/02/95,5.92,8.83
01/03/95,5.98,8.46
01/04/95,6.05,8.32
01/05/95,6.01,7.96
01/06/95,6,7.57
01/07/95,5.85,7.61
01/08/95,5.74,7.86
01/09/95,5.8,7.64
01/10/95,5.76,7.48
01/11/95,5.8,7.38
01/12/95,5.6,7.2
01/01/96,5.56,7.03
01/02/96,5.22,7.08
01/03/96,5.31,7.62
01/04/96,5.22,7.93
01/05/96,5.24,8.07
01/06/96,5.27,8.32
01/07/96,5.4,8.25
01/08/96,5.22,8
01/09/96,5.3,8.23
01/10/96,5.24,7.92
01/11/96,5.31,7.62
01/12/96,5.29,7.6
01/01/97,5.25,7.82
01/02/97,5.19,7.65
01/03/97,5.39,7.9
01/04/97,5.51,8.14
01/05/97,5.5,7.94
01/06/97,5.56,7.69
01/07/97,5.52,7.5
01/08/97,5.54,7.48
01/09/97,5.54,7.43
01/10/97,5.5,7.29
01/11/97,5.52,7.21
01/12/97,5.5,7.1
01/01/98,5.56,6.99
01/02/98,5.51,7.04
01/03/98,5.49,7.13
01/04/98,5.45,7.14
01/05/98,5.49,7.14
01/06/98,5.56,7
01/07/98,5.54,6.95
01/08/98,5.55,6.92
01/09/98,5.51,6.72
01/10/98,5.07,6.71
01/11/98,4.83,6.87
01/12/98,4.68,6.74
01/01/99,4.63,6.79
01/02/99,4.76,6.81
01/03/99,4.81,7.04
01/04/99,4.74,6.92
01/05/99,4.74,7.15
01/06/99,4.76,7.55
01/07/99,4.99,7.63
01/08/99,5.07,7.94
01/09/99,5.22,7.82
01/10/99,5.2,7.85
01/11/99,5.42,7.74
01/12/99,5.3,7.91
01/01/00,5.45,8.21
01/02/00,5.73,8.33
01/03/00,5.85,8.24
01/04/00,6.02,8.15
01/05/00,6.27,8.52
01/06/00,6.53,8.29
01/07/00,6.54,8.15
01/08/00,6.5,8.03
01/09/00,6.52,7.91
01/10/00,6.51,7.8
01/11/00,6.51,7.75
01/12/00,6.4,7.38
01/01/01,5.98,7.03
01/02/01,5.49,7.05
01/03/01,5.31,6.95
01/04/01,4.8,7.08
01/05/01,4.21,7.15
01/06/01,3.97,7.16
01/07/01,3.77,7.13
01/08/01,3.65,6.95
01/09/01,3.07,6.82
01/10/01,2.49,6.62
01/11/01,2.09,6.66
01/12/01,1.82,7.07
01/01/02,1.73,7
01/02/02,1.74,6.89
01/03/02,1.73,7.01
01/04/02,1.75,6.99
01/05/02,1.75,6.81
01/06/02,1.75,6.65
01/07/02,1.73,6.49
01/08/02,1.74,6.29
01/09/02,1.75,6.09
01/10/02,1.75,6.11
01/11/02,1.34,6.07
01/12/02,1.24,6.05
01/01/03,1.24,5.92
01/02/03,1.26,5.84
01/03/03,1.25,5.75
01/04/03,1.26,5.81
01/05/03,1.26,5.48
01/06/03,1.22,5.23
01/07/03,1.01,5.63
01/08/03,1.03,6.26
01/09/03,1.01,6.15
01/10/03,1.01,5.95
01/11/03,1,5.93
01/12/03,0.98,5.88
01/01/04,1,5.71
01/02/04,1.01,5.64
01/03/04,1,5.45
01/04/04,1,5.83
01/05/04,1,6.27
01/06/04,1.03,6.29
01/07/04,1.26,6.06
01/08/04,1.43,5.87
01/09/04,1.61,5.75
01/10/04,1.76,5.72
01/11/04,1.93,5.73
01/12/04,2.16,5.75
01/01/05,2.28,5.71
01/02/05,2.5,5.63
01/03/05,2.63,5.93
01/04/05,2.79,5.86
01/05/05,3,5.72
01/06/05,3.04,5.58
01/07/05,3.26,5.7
01/08/05,3.5,5.82
01/09/05,3.62,5.77
01/10/05,3.78,6.07
01/11/05,4,6.33
01/12/05,4.16,6.27
01/01/06,4.29,6.15
01/02/06,4.49,6.25
01/03/06,4.59,6.32
01/04/06,4.79,6.51
01/05/06,4.94,6.6
01/06/06,4.99,6.68
01/07/06,5.24,6.76
01/08/06,5.25,6.52
01/09/06,5.25,6.4
01/10/06,5.25,6.36
01/11/06,5.25,6.24
01/12/06,5.24,6.14
01/01/07,5.25,6.22
01/02/07,5.26,6.29
01/03/07,5.26,6.16
01/04/07,5.25,6.18
01/05/07,5.25,6.26
01/06/07,5.25,6.66
01/07/07,5.26,6.7
01/08/07,5.02,6.57
01/09/07,4.94,6.38
01/10/07,4.76,6.38
01/11/07,4.49,6.21
01/12/07,4.24,6.1
01/01/08,3.94,5.76
01/02/08,2.98,5.92
01/03/08,2.61,5.97
01/04/08,2.28,5.92
01/05/08,1.98,6.04
01/06/08,2,6.32
01/07/08,2.01,6.43
01/08/08,2,6.48
01/09/08,1.81,6.04
01/10/08,0.97,6.2
01/11/08,0.39,6.09
01/12/08,0.16,5.29
01/01/09,0.15,5.05
01/02/09,0.22,5.13
01/03/09,0.18,5
01/04/09,0.15,4.81
01/05/09,0.18,4.86
01/06/09,0.21,5.42
01/07/09,0.16,5.22
01/08/09,0.16,5.19
01/09/09,0.15,5.06
01/10/09,0.12,4.95
01/11/09,0.12,4.88
01/12/09,0.12,4.93
01/01/10,0.11,5.03
01/02/10,0.13,4.99
01/03/10,0.16,4.97
01/04/10,0.2,5.1
01/05/10,0.2,4.89
01/06/10,0.18,4.74
01/07/10,0.18,4.56
01/08/10,0.19,4.43
01/09/10,0.19,4.35
01/10/10,0.19,4.23
01/11/10,0.19,4.3
01/12/10,0.18,4.71
01/01/11,0.17,4.76
01/02/11,0.16,4.95
01/03/11,0.14,4.84
01/04/11,0.1,4.84
01/05/11,0.09,4.64
01/06/11,0.09,4.51
01/07/11,0.07,4.55
01/08/11,0.1,4.27
01/09/11,0.08,4.11
01/10/11,0.07,4.07
01/11/11,0.08,3.99
01/12/11,0.07,3.96
01/01/12,0.08,3.92
01/02/12,0.1,3.89
01/03/12,0.13,3.95
01/04/12,0.14,3.91
01/05/12,0.16,3.8
01/06/12,0.16,3.68
01/07/12,0.16,3.55
01/08/12,0.13,3.6
01/09/12,0.14,3.5
01/10/12,0.16,3.38
01/11/12,0.16,3.35
01/12/12,0.16,3.35
01/01/13,0.14,3.41
01/02/13,0.15,3.53
01/03/13,0.14,3.57
01/04/13,0.15,3.45
01/05/13,0.11,3.54
01/06/13,0.09,4.07
01/07/13,0.09,4.37
01/08/13,0.08,4.46
01/09/13,0.08,4.49
01/10/13,0.09,4.19
01/11/13,0.08,4.26
01/12/13,0.09,4.46
01/01/14,0.07,4.43
01/02/14,0.07,4.3
01/03/14,0.08,4.34
01/04/14,0.09,4.34
01/05/14,0.09,4.19
01/06/14,0.1,4.16
01/07/14,0.09,4.13
01/08/14,0.09,4.12
01/09/14,0.09,4.16
01/10/14,0.09,4.04
01/11/14,0.09,4
01/12/14,0.12,3.86
01/01/15,0.11,3.67
01/02/15,0.11,3.71
01/03/15,0.11,3.77
01/04/15,0.12,3.67
01/05/15,0.12,3.84
01/06/15,0.13,3.98
01/07/15,0.13,4.05
01/08/15,0.14,3.91
01/09/15,0.14,3.89
01/10/15,0.12,3.8
01/11/15,0.12,3.94
01/12/15,0.24,3.96
01/01/16,0.34,3.87
01/02/16,0.38,3.66
01/03/16,0.36,3.69
01/04/16,0.37,3.61
01/05/16,0.37,3.6
01/06/16,0.38,3.57
01/07/16,0.39,3.44
01/08/16,0.4,3.44
01/09/16,0.4,3.46
01/10/16,0.4,3.47
01/11/16,0.41,3.77
01/12/16,0.54,4.2
01/01/17,0.65,4.15
01/02/17,0.66,4.17
01/03/17,0.79,4.2
01/04/17,0.9,4.05
01/05/17,0.91,4.01
01/06/17,1.04,3.9
01/07/17,1.15,3.97
01/08/17,1.16,3.88
01/09/17,1.15,3.81
01/10/17,1.15,3.9
01/11/17,1.16,3.92
01/12/17,1.3,3.95
01/01/18,1.41,4.03
01/02/18,1.42,4.33
01/03/18,1.51,4.44
01/04/18,1.69,4.47
01/05/18,1.7,4.59
01/06/18,1.82,4.57
01/07/18,1.91,4.53
01/08/18,1.91,4.55
01/09/18,1.95,4.63
01/10/18,2.19,4.83
01/11/18,2.2,4.87
01/12/18,2.27,4.64
01/01/19,2.4,4.46
01/02/19,2.4,4.37
01/03/19,2.41,4.27
01/04/19,2.42,4.14
01/05/19,2.39,4.07
01/06/19,2.38,3.8
01/07/19,2.4,3.77
01/08/19,2.13,3.62
01/09/19,2.04,3.61
01/10/19,1.83,3.69
01/11/19,1.55,3.7
01/12/19,1.55,3.72
01/01/20,1.55,3.62
01/02/20,1.58,3.47
01/03/20,0.65,3.45
01/04/20,0.05,3.31
01/05/20,0.05,3.23
01/06/20,0.08,3.16
01/07/20,0.09,3.02
01/08/20,0.1,2.94
01/09/20,0.09,2.89
01/10/20,0.09,2.83
01/11/20,0.09,2.77
01/12/20,0.09,2.68
01/01/21,0.09,2.74
01/02/21,0.08,2.81
01/03/21,0.07,3.08
01/04/21,0.07,3.06
01/05/21,0.06,2.96
01/06/21,0.08,2.98
01/07/21,0.1,2.87
01/08/21,0.09,2.84
01/09/21,0.08,2.9
01/10/21,0.08,3.07
01/11/21,0.08,3.07
01/12/21,0.08,3.1
01/01/22,0.08,3.45
01/02/22,0.08,3.76
01/03/22,0.2,4.17
01/04/22,0.33,4.98
01/05/22,0.77,5.23
01/06/22,1.21,5.52