DATE,US HOUSING STARTS
01/04/22,1.549M
01/03/22,1.724M
01/02/22,1.793M
01/01/22,1.769M
01/12/21,1.638M
01/11/21,1.702M
01/10/21,1.679M
01/09/21,1.520M
01/08/21,1.555M
01/07/21,1.615M
01/06/21,1.534M
01/05/21,1.643M
01/04/21,1.572M
01/03/21,1.569M
01/02/21,1.739M
01/01/21,1.421M
01/12/20,1.580M
01/11/20,1.669M
01/10/20,1.547M
01/09/20,1.530M
01/08/20,1.415M
01/07/20,1.416M
01/06/20,1.496M
01/05/20,1.186M
01/04/20,0.974M
01/03/20,0.891M
01/02/20,1.216M
01/01/20,1.599M
01/12/19,1.567M
01/11/19,1.608M
01/10/19,1.365M
01/09/19,1.314M
01/08/19,1.256M
01/07/19,1.364M
01/06/19,1.191M
01/05/19,1.253M
01/04/19,1.269M
01/03/19,1.235M
01/02/19,1.139M
01/01/19,1.162M
01/12/18,1.230M
01/11/18,1.078M
01/10/18,1.256M
01/09/18,1.228M
01/08/18,1.201M
01/07/18,1.282M
01/06/18,1.168M
01/05/18,1.173M
01/04/18,1.350M
01/03/18,1.287M
01/02/18,1.319M
01/01/18,1.236M
01/12/17,1.326M
01/11/17,1.192M
01/10/17,1.297M
01/09/17,1.290M
01/08/17,1.127M
01/07/17,1.180M
01/06/17,1.155M
01/05/17,1.215M
01/04/17,1.092M
01/03/17,1.172M
01/02/17,1.215M
01/01/17,1.288M
01/12/16,1.246M
01/11/16,1.226M
01/10/16,1.090M
01/09/16,1.323M
01/08/16,1.047M
01/07/16,1.142M
01/06/16,1.211M
01/05/16,1.189M
01/04/16,1.164M
01/03/16,1.172M
01/02/16,1.089M
01/01/16,1.178M
01/12/15,1.099M
01/11/15,1.149M
01/10/15,1.173M
01/09/15,1.060M
01/08/15,1.206M
01/07/15,1.126M
01/06/15,1.206M
01/05/15,1.174M
01/04/15,1.036M
01/03/15,1.135M
01/02/15,0.926M
01/01/15,0.897M
01/12/14,1.065M
01/11/14,1.089M
01/10/14,1.028M
01/09/14,1.009M
01/08/14,1.017M
01/07/14,0.956M
01/06/14,1.093M
01/05/14,0.893M
01/04/14,1.001M
01/03/14,1.072M
01/02/14,0.946M
01/01/14,0.907M
01/12/13,0.880M
01/11/13,0.999M
01/10/13,1.091M
01/09/13,0.891M
01/08/13,0.896M
01/07/13,0.836M
01/06/13,0.914M
01/05/13,0.853M
01/04/13,1.036M
01/03/13,0.917M
01/02/13,0.890M
01/01/13,0.954M
01/12/12,0.861M
01/11/12,0.894M
01/10/12,0.872M
01/09/12,0.750M
01/08/12,0.746M
01/07/12,0.760M
01/06/12,0.708M
01/05/12,0.717M
01/04/12,0.654M
01/03/12,0.698M
01/02/12,0.699M
01/01/12,0.657M
01/12/11,0.685M
01/11/11,0.628M
01/10/11,0.658M
01/09/11,0.570M
01/08/11,0.600M
01/07/11,0.630M
01/06/11,0.560M
01/05/11,0.520M
01/04/11,0.550M
01/03/11,0.480M
01/02/11,0.600M
01/01/11,0.530M
01/12/10,0.560M
01/11/10,0.520M
01/10/10,0.610M
01/09/10,0.600M
01/08/10,0.550M
01/07/10,0.550M
01/06/10,0.590M
01/05/10,0.670M
01/04/10,0.630M
01/03/10,0.580M
01/02/10,0.590M
01/01/10,0.560M
01/12/09,0.570M
01/11/09,0.530M
01/10/09,0.590M
01/09/09,0.600M
01/08/09,0.580M
01/07/09,0.580M
01/06/09,0.530M
01/05/09,0.460M
01/04/09,0.510M
01/03/09,0.580M
01/02/09,0.470M
01/01/09,0.550M
01/12/08,0.630M
01/11/08,0.790M
01/10/08,0.820M
01/09/08,0.900M
01/08/08,0.970M
01/07/08,1.070M
01/06/08,0.980M
01/05/08,1.030M
01/04/08,0.950M
01/03/08,1.070M
01/02/08,1.010M
01/01/08,1.04M
01/12/07,1.20M
01/11/07,1.26M
01/10/07,1.18M
01/09/07,1.33M
01/08/07,1.35M
01/07/07,1.45M
01/06/07,1.42M
01/05/07,1.49M
01/04/07,1.50M
01/03/07,1.48M
01/02/07,1.41M
01/01/07,1.65M
01/12/06,1.57M
01/11/06,1.49M
01/10/06,1.72M
01/09/06,1.65M
01/08/06,1.74M
01/07/06,1.80M
01/06/06,1.94M
01/05/06,1.82M
01/04/06,1.97M
01/03/06,2.12M
01/02/06,2.27M
01/01/06,1.99M
01/12/05,2.15M
01/11/05,2.07M
01/10/05,2.15M
01/09/05,2.10M
01/08/05,2.05M
01/07/05,2.07M
01/06/05,2.03M
01/05/05,2.06M
01/04/05,1.86M
01/03/05,2.21M
01/02/05,2.14M
01/01/05,2.04M
01/12/04,1.78M
01/11/04,2.07M
01/10/04,1.91M
01/09/04,2.02M
01/08/04,2.00M
01/07/04,1.83M
01/06/04,1.98M
01/05/04,2.00M
01/04/04,2.00M
01/03/04,1.85M
01/02/04,1.91M
01/01/04,2.06M
01/12/03,2.08M
01/11/03,1.97M
01/10/03,1.94M
01/09/03,1.83M
01/08/03,1.90M
01/07/03,1.87M
01/06/03,1.75M
01/05/03,1.64M
01/04/03,1.73M
01/03/03,1.63M
01/02/03,1.85M
01/01/03,1.79M
01/12/02,1.75M
01/11/02,1.65M
01/10/02,1.80M
01/09/02,1.63M
01/08/02,1.66M
01/07/02,1.72M
01/06/02,1.76M
01/05/02,1.59M
01/04/02,1.64M
01/03/02,1.83M
01/02/02,1.70M
01/01/02,1.57M
01/12/01,1.60M
01/11/01,1.54M
01/10/01,1.56M
01/09/01,1.57M
01/08/01,1.67M
01/07/01,1.64M
01/06/01,1.61M
01/05/01,1.65M
01/04/01,1.59M
01/03/01,1.63M
01/02/01,1.60M
01/01/01,1.53M
01/12/00,1.55M
01/11/00,1.55M
01/10/00,1.51M
01/09/00,1.54M
01/08/00,1.46M
01/07/00,1.56M
01/06/00,1.58M
01/05/00,1.63M
01/04/00,1.60M
01/03/00,1.74M
01/02/00,1.64M
01/01/00,1.71M
01/12/99,1.65M
01/11/99,1.61M
01/10/99,1.64M
01/09/99,1.65M
01/08/99,1.67M
01/07/99,1.56M
01/06/99,1.61M
01/05/99,1.55M
01/04/99,1.71M
01/03/99,1.67M
01/02/99,1.75M
01/01/99,1.79M
01/12/98,1.66M
01/11/98,1.72M
01/10/98,1.58M
01/09/98,1.61M
01/08/98,1.70M
01/07/98,1.64M
01/06/98,1.54M
01/05/98,1.54M
01/04/98,1.57M
01/03/98,1.58M
01/02/98,1.53M
01/01/98,1.57M
01/12/97,1.51M
01/11/97,1.52M
01/10/97,1.55M
01/09/97,1.39M
01/08/97,1.44M
01/07/97,1.49M
01/06/97,1.44M
01/05/97,1.49M
01/04/97,1.46M
01/03/97,1.49M
01/02/97,1.36M
01/01/97,1.37M
01/12/96,1.49M
01/11/96,1.39M
01/10/96,1.48M
01/09/96,1.56M
01/08/96,1.47M
01/07/96,1.47M
01/06/96,1.50M
01/05/96,1.52M
01/04/96,1.42M
01/03/96,1.49M
01/02/96,1.47M
01/01/96,1.43M
01/12/95,1.45M
01/11/95,1.37M
01/10/95,1.37M
01/09/95,1.42M
01/08/95,1.46M
01/07/95,1.28M
01/06/95,1.31M
01/05/95,1.27M
01/04/95,1.25M
01/03/95,1.32M
01/02/95,1.41M
01/01/95,1.46M
01/12/94,1.51M
01/11/94,1.45M
01/10/94,1.47M
01/09/94,1.45M
01/08/94,1.44M
01/07/94,1.41M
01/06/94,1.53M
01/05/94,1.47M
01/04/94,1.56M
01/03/94,1.34M
01/02/94,1.27M
01/01/94,1.53M
01/12/93,1.38M
01/11/93,1.39M
01/10/93,1.34M
01/09/93,1.30M
01/08/93,1.25M
01/07/93,1.28M
01/06/93,1.26M
01/05/93,1.26M
01/04/93,1.08M
01/03/93,1.21M
01/02/93,1.21M
01/01/93,1.23M
01/12/92,1.21M
01/11/92,1.24M
01/10/92,1.19M
01/09/92,1.23M
01/08/92,1.14M
01/07/92,1.15M
01/06/92,1.21M
01/05/92,1.10M
01/04/92,1.30M
01/03/92,1.25M
01/02/92,1.18M
01/01/92,1.08M
01/12/91,1.10M
01/11/91,1.08M
01/10/91,1.02M
01/09/91,1.05M
01/08/91,1.06M
01/07/91,1.04M
01/06/91,1.00M
01/05/91,1.00M
01/04/91,0.92M
01/03/91,0.97M
01/02/91,0.80M
01/01/91,0.97M
01/12/90,1.15M
01/11/90,1.01M
01/10/90,1.11M
01/09/90,1.12M
01/08/90,1.17M
01/07/90,1.18M
01/06/90,1.21M
01/05/90,1.25M
01/04/90,1.29M
01/03/90,1.44M
01/02/90,1.55M
01/01/90,1.25M
01/12/89,1.35M
01/11/89,1.41M
01/10/89,1.28M
01/09/89,1.33M
01/08/89,1.43M
01/07/89,1.40M
01/06/89,1.33M
01/05/89,1.34M
01/04/89,1.42M
01/03/89,1.43M
01/02/89,1.62M
01/01/89,1.56M
01/12/88,1.57M
01/11/88,1.52M
01/10/88,1.49M
01/09/88,1.49M
01/08/88,1.47M
01/07/88,1.48M
01/06/88,1.42M
01/05/88,1.57M
01/04/88,1.53M
01/03/88,1.47M
01/02/88,1.27M
01/01/88,1.40M
01/12/87,1.66M
01/11/87,1.52M
01/10/87,1.70M
01/09/87,1.61M
01/08/87,1.58M
01/07/87,1.59M
01/06/87,1.63M
01/05/87,1.61M
01/04/87,1.73M
01/03/87,1.78M
01/02/87,1.77M
01/01/87,1.83M