DATE,Households DEBT
01/01/87,2626617
01/04/87,2706834
01/07/87,2774558
01/10/87,2817489
01/01/88,2893489
01/04/88,2966415
01/07/88,3036771
01/10/88,3100556
01/01/89,3165488
01/04/89,3240216
01/07/89,3312156
01/10/89,3383950
01/01/90,3477808
01/04/90,3539839
01/07/90,3591879
01/10/90,3644394
01/01/91,3700153
01/04/91,3756206
01/07/91,3787008
01/10/91,3853200
01/01/92,3904945
01/04/92,3942175
01/07/92,3994613
01/10/92,4053865
01/01/93,4096043
01/04/93,4156988
01/07/93,4228101
01/10/93,4303289
01/01/94,4375585
01/04/94,4453886
01/07/94,4525560
01/10/94,4627257
01/01/95,4700954
01/04/95,4783231
01/07/95,4876898
01/10/95,4950231
01/01/96,5072380
01/04/96,5162906
01/07/96,5233450
01/10/96,5313287
01/01/97,5400903
01/04/97,5483368
01/07/97,5581267
01/10/97,5661212
01/01/98,5770512
01/04/98,5894117
01/07/98,5984597
01/10/98,6116429
01/01/99,6258072
01/04/99,6400510
01/07/99,6538201
01/10/99,6687927
01/01/00,6874792
01/04/00,7007215
01/07/00,7171557
01/10/00,7287820
01/01/01,7400562
01/04/01,7577136
01/07/01,7821042
01/10/01,7916373
01/01/02,8108679
01/04/02,8260757
01/07/02,8458668
01/10/02,8693842
01/01/03,8921063
01/04/03,9280481
01/07/03,9523761
01/10/03,9782786
01/01/04,10032895
01/04/04,10326823
01/07/04,10583473
01/10/04,10940174
01/01/05,11184444
01/04/05,11508721
01/07/05,11823610
01/10/05,12116076
01/01/06,12510567
01/04/06,12857794
01/07/06,13154262
01/10/06,13421314
01/01/07,13617674
01/04/07,13930496
01/07/07,14148190
01/10/07,14351109
01/01/08,14508268
01/04/08,14440775
01/07/08,14557434
01/10/08,14219112
01/01/09,14151380
01/04/09,14129704
01/07/09,14089006
01/10/09,14057100
01/01/10,14004084
01/04/10,13946986
01/07/10,13858131
01/10/10,13865546
01/01/11,13889531
01/04/11,13840413
01/07/11,13749985
01/10/11,13735109
01/01/12,13742964
01/04/12,13690949
01/07/12,13678354
01/10/12,13667404
01/01/13,13689921
01/04/13,13694293
01/07/13,13726878
01/10/13,13899635
01/01/14,13944484
01/04/14,14023132
01/07/14,13970465
01/10/14,14018094
01/01/15,14054831
01/04/15,14168541
01/07/15,14182554
01/10/15,14190691
01/01/16,14262129
01/04/16,14377821
01/07/16,14515244
01/10/16,14600966
01/01/17,14727121
01/04/17,14863231
01/07/17,14959303
01/10/17,15145842
01/01/18,15266812
01/04/18,15377800
01/07/18,15504328
01/10/18,15600978
01/01/19,15677512
01/04/19,15831713
01/07/19,15961945
01/10/19,16091143
01/01/20,16240950
01/04/20,16223162
01/07/20,16453363
01/10/20,16704995
01/01/21,16992672
01/04/21,17307856
01/07/21,17582900
01/10/21,17932546
01/01/22,18304538