DATE,Gross domestic product
1986,4.58E+12
1987,4.86E+12
1988,5.24E+12
1989,5.64E+12
1990,5.96E+12
1991,6.16E+12
1992,6.52E+12
1993,6.86E+12
1994,7.29E+12
1995,7.64E+12
1996,8.07E+12
1997,8.58E+12
1998,9.06E+12
1999,9.63E+12
2000,1.03E+13
2001,1.06E+13
2002,1.09E+13
2003,1.15E+13
2004,1.22E+13
2005,1.30E+13
2006,1.38E+13
2007,1.45E+13
2008,1.47E+13
2009,1.45E+13
2010,1.50E+13
2011,1.56E+13
2012,1.63E+13
2013,1.68E+13
2014,1.76E+13
2015,1.82E+13
2016,1.87E+13
2017,1.95E+13
2018,2.05E+13
2019,2.14E+13
2020,2.09E+13
2021,2.30E+13
2022,2.53E+13